answers,context,id,question,title
"{'answer_start': [108], 'text': ['Lisbon']}","Portuguese universities have existed since 1290. The oldest Portuguese university was first established in Lisbon before moving to Coimbra. Historically, within the scope of the Portuguese Empire, the Portuguese founded the oldest engineering school of the Americas (the Real Academia de Artilharia, FortificaĂ§ĂŁo e Desenho of Rio de Janeiro) in 1792, as well as the oldest medical college in Asia (the Escola MĂ©dico-CirĂșrgica of Goa) in 1842. The largest university in Portugal is the University of Lisbon.",57342171d058e614000b69a1,Where was the oldest Portuguese university established?,Portugal
"{'answer_start': [132], 'text': ['Coimbra']}","Portuguese universities have existed since 1290. The oldest Portuguese university was first established in Lisbon before moving to Coimbra. Historically, within the scope of the Portuguese Empire, the Portuguese founded the oldest engineering school of the Americas (the Real Academia de Artilharia, FortificaĂ§ĂŁo e Desenho of Rio de Janeiro) in 1792, as well as the oldest medical college in Asia (the Escola MĂ©dico-CirĂșrgica of Goa) in 1842. The largest university in Portugal is the University of Lisbon.",57342171d058e614000b69a2,Where did the oldest Portuguese university relocate to?,Portugal
"{'answer_start': [268], 'text': ['the Real Academia de Artilharia, FortificaĂ§ĂŁo e Desenho of Rio de Janeiro']}","Portuguese universities have existed since 1290. The oldest Portuguese university was first established in Lisbon before moving to Coimbra. Historically, within the scope of the Portuguese Empire, the Portuguese founded the oldest engineering school of the Americas (the Real Academia de Artilharia, FortificaĂ§ĂŁo e Desenho of Rio de Janeiro) in 1792, as well as the oldest medical college in Asia (the Escola MĂ©dico-CirĂșrgica of Goa) in 1842. The largest university in Portugal is the University of Lisbon.",57342171d058e614000b69a3,What is the oldest engineering school of the Americas?,Portugal
"{'answer_start': [399], 'text': ['the Escola MĂ©dico-CirĂșrgica of Goa']}","Portuguese universities have existed since 1290. The oldest Portuguese university was first established in Lisbon before moving to Coimbra. Historically, within the scope of the Portuguese Empire, the Portuguese founded the oldest engineering school of the Americas (the Real Academia de Artilharia, FortificaĂ§ĂŁo e Desenho of Rio de Janeiro) in 1792, as well as the oldest medical college in Asia (the Escola MĂ©dico-CirĂșrgica of Goa) in 1842. The largest university in Portugal is the University of Lisbon.",57342171d058e614000b69a4>,What is the oldest medical college in Asia?,Portugal
"{'answer_start': [45], 'text': ['2006']}","The Bologna process has been adopted, since 2006, by Portuguese universities and poly-technical institutes. Higher education in state-run educational establishments is provided on a competitive basis, a system of numerus clausus is enforced through a national database on student admissions. However, every higher education institution offers also a number of additional vacant places through other extraordinary admission processes for sportsmen, mature applicants (over 23 years old), international students, foreign students from the Lusosphere, degree owners from other institutions, students from other institutions (academic transfer), former students (readmission), and course change, which are subject to specific standards and regulations set by each institution or course department. Most student costs are supported with public money. However, with the increasing tuition fees a student has to pay to attend a Portuguese state-run higher education institution and the attraction of new types of students (many as part-time students or in evening classes) like employees, businessmen, parents, and pensioners, many departments make a substantial profit from every additional student enrolled in courses, with benefits for the college or university's gross tuition revenue and without loss of educational quality (teacher per student, computer per student, classroom size per student, etc.).",573422234776f4190066190d,When was the Bologna process adopted?,Portugal
"{'answer_start': [833], 'text': ['public money']}","The Bologna process has been adopted, since 2006, by Portuguese universities and poly-technical institutes. Higher education in state-run educational establishments is provided on a competitive basis, a system of numerus clausus is enforced through a national database on student admissions. However, every higher education institution offers also a number of additional vacant places through other extraordinary admission processes for sportsmen, mature applicants (over 23 years old), international students, foreign students from the Lusosphere, degree owners from other institutions, students from other institutions (academic transfer), former students (readmission), and course change, which are subject to specific standards and regulations set by each institution or course department. Most student costs are supported with public money. However, with the increasing tuition fees a student has to pay to attend a Portuguese state-run higher education institution and the attraction of new types of students (many as part-time students or in evening classes) like employees, businessmen, parents, and pensioners, many departments make a substantial profit from every additional student enrolled in courses, with benefits for the college or university's gross tuition revenue and without loss of educational quality (teacher per student, computer per student, classroom size per student, etc.).",573422234776f4190066190e,What are most higher education student costs supported with?,Portugal
"{'answer_start': [468], 'text': ['over 23 years old']}","The Bologna process has been adopted, since 2006, by Portuguese universities and poly-technical institutes. Higher education in state-run educational establishments is provided on a competitive basis, a system of numerus clausus is enforced through a national database on student admissions. However, every higher education institution offers also a number of additional vacant places through other extraordinary admission processes for sportsmen, mature applicants (over 23 years old), international students, foreign students from the Lusosphere, degree owners from other institutions, students from other institutions (academic transfer), former students (readmission), and course change, which are subject to specific standards and regulations set by each institution or course department. Most student costs are supported with public money. However, with the increasing tuition fees a student has to pay to attend a Portuguese state-run higher education institution and the attraction of new types of students (many as part-time students or in evening classes) like employees, businessmen, parents, and pensioners, many departments make a substantial profit from every additional student enrolled in courses, with benefits for the college or university's gross tuition revenue and without loss of educational quality (teacher per student, computer per student, classroom size per student, etc.).",573422234776f4190066190f>,Over what age are higher education applicants considered mature?,Portugal
"{'answer_start': [43], 'text': ['developing health policy as well as managing the SNS']}","The Ministry of Health is responsible for developing health policy as well as managing the SNS. Five regional health administrations are in charge of implementing the national health policy objectives, developing guidelines and protocols and supervising health care delivery. Decentralization efforts have aimed at shifting financial and management responsibility to the regional level. In practice, however, the autonomy of regional health administrations over budget setting and spending has been limited to primary care.",57342458d058e614000b69ee,What is the Ministry of Health responsible for?,Portugal
"{'answer_start': [97], 'text': ['Five']}","The Ministry of Health is responsible for developing health policy as well as managing the SNS. Five regional health administrations are in charge of implementing the national health policy objectives, developing guidelines and protocols and supervising health care delivery. Decentralization efforts have aimed at shifting financial and management responsibility to the regional level. In practice, however, the autonomy of regional health administrations over budget setting and spending has been limited to primary care.",57342458d058e614000b69ef,How many regional health administrations exist in Portugal?,Portugal
"{'answer_start': [151], 'text': ['implementing the national health policy objectives, developing guidelines and protocols and supervising health care delivery']}","The Ministry of Health is responsible for developing health policy as well as managing the SNS. Five regional health administrations are in charge of implementing the national health policy objectives, developing guidelines and protocols and supervising health care delivery. Decentralization efforts have aimed at shifting financial and management responsibility to the regional level. In practice, however, the autonomy of regional health administrations over budget setting and spending has been limited to primary care.",57342458d058e614000b69f0>,What are the regional health administrations in charge of?,Portugal
"{'answer_start': [64], 'text': ['noncommunicable diseases']}","Similar to the other Eur-A countries, most Portuguese die from noncommunicable diseases. Mortality from cardiovascular diseases (CVD) is higher than in the eurozone, but its two main components, ischaemic heart disease and cerebrovascular disease, display inverse trends compared with the Eur-A, with cerebrovascular disease being the single biggest killer in Portugal (17%). Portuguese people die 12% less often from cancer than in the Eur-A, but mortality is not declining as rapidly as in the Eur-A. Cancer is more frequent among children as well as among women younger than 44 years. Although lung cancer (slowly increasing among women) and breast cancer (decreasing rapidly) are scarcer, cancer of the cervix and the prostate are more frequent. Portugal has the highest mortality rate for diabetes in the Eur-A, with a sharp increase since the 1980s.",57342503d058e614000b69f4,What do most Portuguese people die from?,Portugal
"{'answer_start': [196], 'text': ['ischaemic heart disease and cerebrovascular disease']}","Similar to the other Eur-A countries, most Portuguese die from noncommunicable diseases. Mortality from cardiovascular diseases (CVD) is higher than in the eurozone, but its two main components, ischaemic heart disease and cerebrovascular disease, display inverse trends compared with the Eur-A, with cerebrovascular disease being the single biggest killer in Portugal (17%). Portuguese people die 12% less often from cancer than in the Eur-A, but mortality is not declining as rapidly as in the Eur-A. Cancer is more frequent among children as well as among women younger than 44 years. Although lung cancer (slowly increasing among women) and breast cancer (decreasing rapidly) are scarcer, cancer of the cervix and the prostate are more frequent. Portugal has the highest mortality rate for diabetes in the Eur-A, with a sharp increase since the 1980s.",57342503d058e614000b69f5,What are the two main components of cardiovascular disease?,Portugal
"{'answer_start': [302], 'text': ['cerebrovascular disease']}","Similar to the other Eur-A countries, most Portuguese die from noncommunicable diseases. Mortality from cardiovascular diseases (CVD) is higher than in the eurozone, but its two main components, ischaemic heart disease and cerebrovascular disease, display inverse trends compared with the Eur-A, with cerebrovascular disease being the single biggest killer in Portugal (17%). Portuguese people die 12% less often from cancer than in the Eur-A, but mortality is not declining as rapidly as in the Eur-A. Cancer is more frequent among children as well as among women younger than 44 years. Although lung cancer (slowly increasing among women) and breast cancer (decreasing rapidly) are scarcer, cancer of the cervix and the prostate are more frequent. Portugal has the highest mortality rate for diabetes in the Eur-A, with a sharp increase since the 1980s.",57342503d058e614000b69f6,What is the biggest killer in Portugal?,Portugal
"{'answer_start': [399], 'text': ['12%']}","Similar to the other Eur-A countries, most Portuguese die from noncommunicable diseases. Mortality from cardiovascular diseases (CVD) is higher than in the eurozone, but its two main components, ischaemic heart disease and cerebrovascular disease, display inverse trends compared with the Eur-A, with cerebrovascular disease being the single biggest killer in Portugal (17%). Portuguese people die 12% less often from cancer than in the Eur-A, but mortality is not declining as rapidly as in the Eur-A. Cancer is more frequent among children as well as among women younger than 44 years. Although lung cancer (slowly increasing among women) and breast cancer (decreasing rapidly) are scarcer, cancer of the cervix and the prostate are more frequent. Portugal has the highest mortality rate for diabetes in the Eur-A, with a sharp increase since the 1980s.",57342503d058e614000b69f7,What percentage of Portuguese people die less often from cancer than in the Eur-A?,Portugal
"{'answer_start': [534], 'text': ['children as well as among women younger than 44 years']}","Similar to the other Eur-A countries, most Portuguese die from noncommunicable diseases. Mortality from cardiovascular diseases (CVD) is higher than in the eurozone, but its two main components, ischaemic heart disease and cerebrovascular disease, display inverse trends compared with the Eur-A, with cerebrovascular disease being the single biggest killer in Portugal (17%). Portuguese people die 12% less often from cancer than in the Eur-A, but mortality is not declining as rapidly as in the Eur-A. Cancer is more frequent among children as well as among women younger than 44 years. Although lung cancer (slowly increasing among women) and breast cancer (decreasing rapidly) are scarcer, cancer of the cervix and the prostate are more frequent. Portugal has the highest mortality rate for diabetes in the Eur-A, with a sharp increase since the 1980s.",57342503d058e614000b69f8>,Who is cancer more common among in Portugal?,Portugal
"{'answer_start': [349], 'text': ['self-reporting at the household level']}","People are usually well informed about their health status, the positive and negative effects of their behaviour on their health and their use of health care services. Yet their perceptions of their health can differ from what administrative and examination-based data show about levels of illness within populations. Thus, survey results based on self-reporting at the household level complement other data on health status and the use of services. Only one third of adults rated their health as good or very good in Portugal (Kasmel et al., 2004). This is the lowest of the Eur-A countries reporting and reflects the relatively adverse situation of the country in terms of mortality and selected morbidity.",573425ecd058e614000b6a08,What survey results complement on data on health status?,Portugal
"{'answer_start': [456], 'text': ['one third']}","People are usually well informed about their health status, the positive and negative effects of their behaviour on their health and their use of health care services. Yet their perceptions of their health can differ from what administrative and examination-based data show about levels of illness within populations. Thus, survey results based on self-reporting at the household level complement other data on health status and the use of services. Only one third of adults rated their health as good or very good in Portugal (Kasmel et al., 2004). This is the lowest of the Eur-A countries reporting and reflects the relatively adverse situation of the country in terms of mortality and selected morbidity.",573425ecd058e614000b6a09>,What number of Portuguese adults rated their health as good or very good?,Portugal
"{'answer_start': [240], 'text': ['1990s and 2000s']}","Portugal has developed a specific culture while being influenced by various civilizations that have crossed the Mediterranean and the European continent, or were introduced when it played an active role during the Age of Discovery. In the 1990s and 2000s (decade), Portugal modernized its public cultural facilities, in addition to the Calouste Gulbenkian Foundation established in 1956 in Lisbon. These include the BelĂ©m Cultural Centre in Lisbon, Serralves Foundation and the Casa da MĂșsica, both in Porto, as well as new public cultural facilities like municipal libraries and concert halls that were built or renovated in many municipalities across the country. Portugal is home to fifteen UNESCO World Heritage Sites, ranking it 8th in Europe and 17th in the world.",573426c64776f41900661987,Portugal modernized its public cultural facilities during what two decades?,Portugal
"{'answer_start': [383], 'text': ['1956']}","Portugal has developed a specific culture while being influenced by various civilizations that have crossed the Mediterranean and the European continent, or were introduced when it played an active role during the Age of Discovery. In the 1990s and 2000s (decade), Portugal modernized its public cultural facilities, in addition to the Calouste Gulbenkian Foundation established in 1956 in Lisbon. These include the BelĂ©m Cultural Centre in Lisbon, Serralves Foundation and the Casa da MĂșsica, both in Porto, as well as new public cultural facilities like municipal libraries and concert halls that were built or renovated in many municipalities across the country. Portugal is home to fifteen UNESCO World Heritage Sites, ranking it 8th in Europe and 17th in the world.",573426c64776f41900661988,In what year was the Calouste Gulbenkian Foundation established?,Portugal
"{'answer_start': [391], 'text': ['Lisbon']}","Portugal has developed a specific culture while being influenced by various civilizations that have crossed the Mediterranean and the European continent, or were introduced when it played an active role during the Age of Discovery. In the 1990s and 2000s (decade), Portugal modernized its public cultural facilities, in addition to the Calouste Gulbenkian Foundation established in 1956 in Lisbon. These include the BelĂ©m Cultural Centre in Lisbon, Serralves Foundation and the Casa da MĂșsica, both in Porto, as well as new public cultural facilities like municipal libraries and concert halls that were built or renovated in many municipalities across the country. Portugal is home to fifteen UNESCO World Heritage Sites, ranking it 8th in Europe and 17th in the world.",573426c64776f41900661989,Where was the Calouste Gulbenkian Foundation established?,Portugal
"{'answer_start': [417], 'text': ['BelĂ©m Cultural Centre in Lisbon, Serralves Foundation and the Casa da MĂșsica']}","Portugal has developed a specific culture while being influenced by various civilizations that have crossed the Mediterranean and the European continent, or were introduced when it played an active role during the Age of Discovery. In the 1990s and 2000s (decade), Portugal modernized its public cultural facilities, in addition to the Calouste Gulbenkian Foundation established in 1956 in Lisbon. These include the BelĂ©m Cultural Centre in Lisbon, Serralves Foundation and the Casa da MĂșsica, both in Porto, as well as new public cultural facilities like municipal libraries and concert halls that were built or renovated in many municipalities across the country. Portugal is home to fifteen UNESCO World Heritage Sites, ranking it 8th in Europe and 17th in the world.",573426c64776f4190066198a,What are some examples of Portugal's public cultural facilities?,Portugal
"{'answer_start': [687], 'text': ['fifteen']}","Portugal has developed a specific culture while being influenced by various civilizations that have crossed the Mediterranean and the European continent, or were introduced when it played an active role during the Age of Discovery. In the 1990s and 2000s (decade), Portugal modernized its public cultural facilities, in addition to the Calouste Gulbenkian Foundation established in 1956 in Lisbon. These include the BelĂ©m Cultural Centre in Lisbon, Serralves Foundation and the Casa da MĂșsica, both in Porto, as well as new public cultural facilities like municipal libraries and concert halls that were built or renovated in many municipalities across the country. Portugal is home to fifteen UNESCO World Heritage Sites, ranking it 8th in Europe and 17th in the world.",573426c64776f4190066198b>,How many UNESCO World Heritage Sites is Portugal home to?,Portugal
"{'answer_start': [82], 'text': ['Portuguese late Gothic']}","Traditional architecture is distinctive and include the Manueline, also known as Portuguese late Gothic, a sumptuous, composite Portuguese style of architectural ornamentation of the first decades of the 16th century. A 20th-century interpretation of traditional architecture, Soft Portuguese style, appears extensively in major cities, especially Lisbon. Modern Portugal has given the world renowned architects like Eduardo Souto de Moura, Ălvaro Siza Vieira (both Pritzker Prize winners) and GonĂ§alo Byrne. In Portugal TomĂĄs Taveira is also noteworthy, particularly for stadium design.",5734275c4776f41900661991,What is the Manueline style also known as?,Portugal
"{'answer_start': [106], 'text': ['a sumptuous, composite Portuguese style of architectural ornamentation of the first decades of the 16th century']}","Traditional architecture is distinctive and include the Manueline, also known as Portuguese late Gothic, a sumptuous, composite Portuguese style of architectural ornamentation of the first decades of the 16th century. A 20th-century interpretation of traditional architecture, Soft Portuguese style, appears extensively in major cities, especially Lisbon. Modern Portugal has given the world renowned architects like Eduardo Souto de Moura, Ălvaro Siza Vieira (both Pritzker Prize winners) and GonĂ§alo Byrne. In Portugal TomĂĄs Taveira is also noteworthy, particularly for stadium design.",5734275c4776f41900661992,What is the Manueline style?,Portugal
"{'answer_start': [219], 'text': ['A 20th-century interpretation of traditional architecture']}","Traditional architecture is distinctive and include the Manueline, also known as Portuguese late Gothic, a sumptuous, composite Portuguese style of architectural ornamentation of the first decades of the 16th century. A 20th-century interpretation of traditional architecture, Soft Portuguese style, appears extensively in major cities, especially Lisbon. Modern Portugal has given the world renowned architects like Eduardo Souto de Moura, Ălvaro Siza Vieira (both Pritzker Prize winners) and GonĂ§alo Byrne. In Portugal TomĂĄs Taveira is also noteworthy, particularly for stadium design.",5734275c4776f41900661993,What is Soft Portuguese style?,Portugal
"{'answer_start': [418], 'text': ['Eduardo Souto de Moura, Ă\x81lvaro Siza Vieira (both Pritzker Prize winners) and GonĂ§alo Byrne']}","Traditional architecture is distinctive and include the Manueline, also known as Portuguese late Gothic, a sumptuous, composite Portuguese style of architectural ornamentation of the first decades of the 16th century. A 20th-century interpretation of traditional architecture, Soft Portuguese style, appears extensively in major cities, especially Lisbon. Modern Portugal has given the world renowned architects like Eduardo Souto de Moura, Ălvaro Siza Vieira (both Pritzker Prize winners) and GonĂ§alo Byrne. In Portugal TomĂĄs Taveira is also noteworthy, particularly for stadium design.",5734275c4776f41900661994,Who are some of the most renowned architects to come from Portugal?,Portugal
"{'answer_start': [573], 'text': ['stadium design']}","Traditional architecture is distinctive and include the Manueline, also known as Portuguese late Gothic, a sumptuous, composite Portuguese style of architectural ornamentation of the first decades of the 16th century. A 20th-century interpretation of traditional architecture, Soft Portuguese style, appears extensively in major cities, especially Lisbon. Modern Portugal has given the world renowned architects like Eduardo Souto de Moura, Ălvaro Siza Vieira (both Pritzker Prize winners) and GonĂ§alo Byrne. In Portugal TomĂĄs Taveira is also noteworthy, particularly for stadium design.",5734275c4776f41900661995>,For what is Tomas Taveira particularly noteworthy for in Portugal?,Portugal
"{'answer_start': [89], 'text': ['late 19th century']}","Portuguese cinema has a long tradition, reaching back to the birth of the medium in the late 19th century. Portuguese film directors such as Arthur Duarte, AntĂłnio Lopes Ribeiro, AntĂłnio Reis, Pedro Costa, Manoel de Oliveira, JoĂŁo CĂ©sar Monteiro, AntĂłnio-Pedro Vasconcelos, Fernando Lopes, JoĂŁo Botelho and Leonel Vieira, are among those that gained notability. Noted Portuguese film actors include Joaquim de Almeida, Daniela Ruah, Maria de Medeiros, Diogo Infante, Soraia Chaves, Ribeirinho, LĂșcia Moniz, and Diogo Morgado.",573427dad058e614000b6a34,In which period was cinema born?,Portugal
"{'answer_start': [142], 'text': ['Arthur Duarte, AntĂłnio Lopes Ribeiro, AntĂłnio Reis, Pedro Costa, Manoel de Oliveira, JoĂŁo CĂ©sar Monteiro, AntĂłnio-Pedro Vasconcelos, Fernando Lopes']}","Portuguese cinema has a long tradition, reaching back to the birth of the medium in the late 19th century. Portuguese film directors such as Arthur Duarte, AntĂłnio Lopes Ribeiro, AntĂłnio Reis, Pedro Costa, Manoel de Oliveira, JoĂŁo CĂ©sar Monteiro, AntĂłnio-Pedro Vasconcelos, Fernando Lopes, JoĂŁo Botelho and Leonel Vieira, are among those that gained notability. Noted Portuguese film actors include Joaquim de Almeida, Daniela Ruah, Maria de Medeiros, Diogo Infante, Soraia Chaves, Ribeirinho, LĂșcia Moniz, and Diogo Morgado.",573427dad058e614000b6a35,Who are some examples of Portuguese film directors?,Portugal
"{'answer_start': [400], 'text': ['Joaquim de Almeida, Daniela Ruah, Maria de Medeiros, Diogo Infante, Soraia Chaves, Ribeirinho, LĂșcia Moniz, and Diogo Morgado']}","Portuguese cinema has a long tradition, reaching back to the birth of the medium in the late 19th century. Portuguese film directors such as Arthur Duarte, AntĂłnio Lopes Ribeiro, AntĂłnio Reis, Pedro Costa, Manoel de Oliveira, JoĂŁo CĂ©sar Monteiro, AntĂłnio-Pedro Vasconcelos, Fernando Lopes, JoĂŁo Botelho and Leonel Vieira, are among those that gained notability. Noted Portuguese film actors include Joaquim de Almeida, Daniela Ruah, Maria de Medeiros, Diogo Infante, Soraia Chaves, Ribeirinho, LĂșcia Moniz, and Diogo Morgado.",573427dad058e614000b6a36,Who are some noted Portuguese actors?,Portugal
"{'answer_start': [89], 'text': ['late 19th century']}","Portuguese cinema has a long tradition, reaching back to the birth of the medium in the late 19th century. Portuguese film directors such as Arthur Duarte, AntĂłnio Lopes Ribeiro, AntĂłnio Reis, Pedro Costa, Manoel de Oliveira, JoĂŁo CĂ©sar Monteiro, AntĂłnio-Pedro Vasconcelos, Fernando Lopes, JoĂŁo Botelho and Leonel Vieira, are among those that gained notability. Noted Portuguese film actors include Joaquim de Almeida, Daniela Ruah, Maria de Medeiros, Diogo Infante, Soraia Chaves, Ribeirinho, LĂșcia Moniz, and Diogo Morgado.",573427dc4776f419006619af,In which period was cinema born?,Portugal
"{'answer_start': [142], 'text': ['Arthur Duarte, AntĂłnio Lopes Ribeiro, AntĂłnio Reis, Pedro Costa, Manoel de Oliveira, JoĂŁo CĂ©sar Monteiro, AntĂłnio-Pedro Vasconcelos, Fernando Lopes']}","Portuguese cinema has a long tradition, reaching back to the birth of the medium in the late 19th century. Portuguese film directors such as Arthur Duarte, AntĂłnio Lopes Ribeiro, AntĂłnio Reis, Pedro Costa, Manoel de Oliveira, JoĂŁo CĂ©sar Monteiro, AntĂłnio-Pedro Vasconcelos, Fernando Lopes, JoĂŁo Botelho and Leonel Vieira, are among those that gained notability. Noted Portuguese film actors include Joaquim de Almeida, Daniela Ruah, Maria de Medeiros, Diogo Infante, Soraia Chaves, Ribeirinho, LĂșcia Moniz, and Diogo Morgado.",573427dc4776f419006619b0,Who are some examples of Portuguese film directors?,Portugal
"{'answer_start': [400], 'text': ['Joaquim de Almeida, Daniela Ruah, Maria de Medeiros, Diogo Infante, Soraia Chaves, Ribeirinho, LĂșcia Moniz, and Diogo Morgado']}","Portuguese cinema has a long tradition, reaching back to the birth of the medium in the late 19th century. Portuguese film directors such as Arthur Duarte, AntĂłnio Lopes Ribeiro, AntĂłnio Reis, Pedro Costa, Manoel de Oliveira, JoĂŁo CĂ©sar Monteiro, AntĂłnio-Pedro Vasconcelos, Fernando Lopes, JoĂŁo Botelho and Leonel Vieira, are among those that gained notability. Noted Portuguese film actors include Joaquim de Almeida, Daniela Ruah, Maria de Medeiros, Diogo Infante, Soraia Chaves, Ribeirinho, LĂșcia Moniz, and Diogo Morgado.",573427dc4776f419006619b1>,Who are some noted Portuguese actors?,Portugal
