answers,context,id,question,title
"{'answer_start': [312], 'text': ['LVMH']}","France's major upscale department stores are Galeries Lafayette and Le Printemps, which both have flagship stores on Boulevard Haussmann in Paris and branches around the country. The first department store in France, Le Bon MarchĂ© in Paris, was founded in 1852 and is now owned by the luxury goods conglomerate LVMH. La Samaritaine, another upscale department store also owned by LVMH, closed in 2005. Mid-range department stores chains also exist in France such as the BHV (Bazar de l'Hotel de Ville), part of the same group as Galeries Lafayette.",572664de5951b619008f7177,Who currently owns Le Bon Marche?,Department store
"{'answer_start': [318], 'text': ['La Samaritaine']}","France's major upscale department stores are Galeries Lafayette and Le Printemps, which both have flagship stores on Boulevard Haussmann in Paris and branches around the country. The first department store in France, Le Bon MarchĂ© in Paris, was founded in 1852 and is now owned by the luxury goods conglomerate LVMH. La Samaritaine, another upscale department store also owned by LVMH, closed in 2005. Mid-range department stores chains also exist in France such as the BHV (Bazar de l'Hotel de Ville), part of the same group as Galeries Lafayette.",572664de5951b619008f7178,What apartment store in Paris was closed in 2005? ,Department store
"{'answer_start': [471], 'text': [""BHV (Bazar de l'Hotel de Ville)""]}","France's major upscale department stores are Galeries Lafayette and Le Printemps, which both have flagship stores on Boulevard Haussmann in Paris and branches around the country. The first department store in France, Le Bon MarchĂ© in Paris, was founded in 1852 and is now owned by the luxury goods conglomerate LVMH. La Samaritaine, another upscale department store also owned by LVMH, closed in 2005. Mid-range department stores chains also exist in France such as the BHV (Bazar de l'Hotel de Ville), part of the same group as Galeries Lafayette.",572664de5951b619008f7179>,What French department store is part of the same group as Galeries Lafayette?,Department store
"{'answer_start': [78], 'text': ['London, Paris and New York.']}","The design and function of department stores in Germany followed the lead of London, Paris and New York. Germany used to have a number of department stores; nowadays only a few of them remain. Next to some smaller, independent department stores these are Karstadt (in 2010 taken over by Nicolas Berggruen, also operating the KaDeWe in Berlin, the Alsterhaus in Hamburg and the Oberpollinger in Munich), GALERIA Kaufhof (part of the Metro AG). Others like Hertie, Wertheim and Horten AG were taken over by others and either fully integrated or later closed.",57266708708984140094c4e5,What cities influenced how department stores in Germany operated? ,Department store
"{'answer_start': [256], 'text': ['Karstadt']}","The design and function of department stores in Germany followed the lead of London, Paris and New York. Germany used to have a number of department stores; nowadays only a few of them remain. Next to some smaller, independent department stores these are Karstadt (in 2010 taken over by Nicolas Berggruen, also operating the KaDeWe in Berlin, the Alsterhaus in Hamburg and the Oberpollinger in Munich), GALERIA Kaufhof (part of the Metro AG). Others like Hertie, Wertheim and Horten AG were taken over by others and either fully integrated or later closed.",57266708708984140094c4e6,What department store was taken over by Nicolas Berggruen in 2010?,Department store
"{'answer_start': [326], 'text': ['KaDeWe']}","The design and function of department stores in Germany followed the lead of London, Paris and New York. Germany used to have a number of department stores; nowadays only a few of them remain. Next to some smaller, independent department stores these are Karstadt (in 2010 taken over by Nicolas Berggruen, also operating the KaDeWe in Berlin, the Alsterhaus in Hamburg and the Oberpollinger in Munich), GALERIA Kaufhof (part of the Metro AG). Others like Hertie, Wertheim and Horten AG were taken over by others and either fully integrated or later closed.",57266708708984140094c4e7,What major department store operates in Berlin? ,Department store
"{'answer_start': [404], 'text': ['GALERIA Kaufhof']}","The design and function of department stores in Germany followed the lead of London, Paris and New York. Germany used to have a number of department stores; nowadays only a few of them remain. Next to some smaller, independent department stores these are Karstadt (in 2010 taken over by Nicolas Berggruen, also operating the KaDeWe in Berlin, the Alsterhaus in Hamburg and the Oberpollinger in Munich), GALERIA Kaufhof (part of the Metro AG). Others like Hertie, Wertheim and Horten AG were taken over by others and either fully integrated or later closed.",57266708708984140094c4e8>,What store is a part of the Metro AG?,Department store
"{'answer_start': [84], 'text': ['Singapore and Sogo from Japan']}","The middle up segment is mainly occupied by Metro Department Store originated from Singapore and Sogo from Japan. 2007 saw the re-opening of Jakarta's Seibu, poised to be the largest and second most upscale department store in Indonesia after Harvey Nichols, which the latter closed in 2010 and yet plans to return. Other international department stores include Debenhams and Marks & Spencer. Galeries Lafayette also joins the Indonesian market in 2013 inside Pacific Place Mall. This department store is targeting middle up market with price range from affordable to luxury, poised to be the largest upscale department store. Galeries Lafayette, Debenhams, Harvey Nichols, Marks & Spencer, Seibu and Sogo are all operated by PT. Mitra Adiperkasa.",57266ad8f1498d1400e8df1e,Where did the Metro Department store originally begin?,Department store
"{'answer_start': [115], 'text': ['2007']}","The middle up segment is mainly occupied by Metro Department Store originated from Singapore and Sogo from Japan. 2007 saw the re-opening of Jakarta's Seibu, poised to be the largest and second most upscale department store in Indonesia after Harvey Nichols, which the latter closed in 2010 and yet plans to return. Other international department stores include Debenhams and Marks & Spencer. Galeries Lafayette also joins the Indonesian market in 2013 inside Pacific Place Mall. This department store is targeting middle up market with price range from affordable to luxury, poised to be the largest upscale department store. Galeries Lafayette, Debenhams, Harvey Nichols, Marks & Spencer, Seibu and Sogo are all operated by PT. Mitra Adiperkasa.",57266ad8f1498d1400e8df1f,"When did Seibu, located in Jakarta, re-open? ",Department store
"{'answer_start': [461], 'text': ['Pacific Place Mall']}","The middle up segment is mainly occupied by Metro Department Store originated from Singapore and Sogo from Japan. 2007 saw the re-opening of Jakarta's Seibu, poised to be the largest and second most upscale department store in Indonesia after Harvey Nichols, which the latter closed in 2010 and yet plans to return. Other international department stores include Debenhams and Marks & Spencer. Galeries Lafayette also joins the Indonesian market in 2013 inside Pacific Place Mall. This department store is targeting middle up market with price range from affordable to luxury, poised to be the largest upscale department store. Galeries Lafayette, Debenhams, Harvey Nichols, Marks & Spencer, Seibu and Sogo are all operated by PT. Mitra Adiperkasa.",57266ad8f1498d1400e8df20,"Where did Galeries Lafayette open in 2013, inside Indonesia? ",Department store
"{'answer_start': [727], 'text': ['PT. Mitra Adiperkasa.']}","The middle up segment is mainly occupied by Metro Department Store originated from Singapore and Sogo from Japan. 2007 saw the re-opening of Jakarta's Seibu, poised to be the largest and second most upscale department store in Indonesia after Harvey Nichols, which the latter closed in 2010 and yet plans to return. Other international department stores include Debenhams and Marks & Spencer. Galeries Lafayette also joins the Indonesian market in 2013 inside Pacific Place Mall. This department store is targeting middle up market with price range from affordable to luxury, poised to be the largest upscale department store. Galeries Lafayette, Debenhams, Harvey Nichols, Marks & Spencer, Seibu and Sogo are all operated by PT. Mitra Adiperkasa.",57266ad8f1498d1400e8df21,Who operates the wide range of department stores in these areas?,Department store
"{'answer_start': [244], 'text': ['Harvey Nichols']}","The middle up segment is mainly occupied by Metro Department Store originated from Singapore and Sogo from Japan. 2007 saw the re-opening of Jakarta's Seibu, poised to be the largest and second most upscale department store in Indonesia after Harvey Nichols, which the latter closed in 2010 and yet plans to return. Other international department stores include Debenhams and Marks & Spencer. Galeries Lafayette also joins the Indonesian market in 2013 inside Pacific Place Mall. This department store is targeting middle up market with price range from affordable to luxury, poised to be the largest upscale department store. Galeries Lafayette, Debenhams, Harvey Nichols, Marks & Spencer, Seibu and Sogo are all operated by PT. Mitra Adiperkasa.",57266ad8f1498d1400e8df22>,What store led the Indonesian markets until 2010 when it closed? ,Department store
"{'answer_start': [41], 'text': ['Centro Department Store']}","Parkson enters by acquiring local brand Centro Department Store in 2011. Centro still operates for middle market while the 'Parkson' brand itself, positioned for middle-up segment, enters in 2014 by opening its first store in Medan, followed by its second store in Jakarta. Lotte, meanwhile, enters the market by inking partnership with Ciputra Group, creating what its called 'Lotte Shopping Avenue' inside the Ciputra World Jakarta complex, as well as acquiring Makro and rebranding it into Lotte Mart.",57266bdd5951b619008f722d,What store did Parkson buy in 2011? ,Department store
"{'answer_start': [227], 'text': ['Medan']}","Parkson enters by acquiring local brand Centro Department Store in 2011. Centro still operates for middle market while the 'Parkson' brand itself, positioned for middle-up segment, enters in 2014 by opening its first store in Medan, followed by its second store in Jakarta. Lotte, meanwhile, enters the market by inking partnership with Ciputra Group, creating what its called 'Lotte Shopping Avenue' inside the Ciputra World Jakarta complex, as well as acquiring Makro and rebranding it into Lotte Mart.",57266bdd5951b619008f722e,Where did Centro open it's first store of 2014?,Department store
"{'answer_start': [338], 'text': ['Ciputra Group']}","Parkson enters by acquiring local brand Centro Department Store in 2011. Centro still operates for middle market while the 'Parkson' brand itself, positioned for middle-up segment, enters in 2014 by opening its first store in Medan, followed by its second store in Jakarta. Lotte, meanwhile, enters the market by inking partnership with Ciputra Group, creating what its called 'Lotte Shopping Avenue' inside the Ciputra World Jakarta complex, as well as acquiring Makro and rebranding it into Lotte Mart.",57266bdd5951b619008f722f,Who did Lotte partner with? ,Department store
"{'answer_start': [413], 'text': ['Ciputra World Jakarta complex']}","Parkson enters by acquiring local brand Centro Department Store in 2011. Centro still operates for middle market while the 'Parkson' brand itself, positioned for middle-up segment, enters in 2014 by opening its first store in Medan, followed by its second store in Jakarta. Lotte, meanwhile, enters the market by inking partnership with Ciputra Group, creating what its called 'Lotte Shopping Avenue' inside the Ciputra World Jakarta complex, as well as acquiring Makro and rebranding it into Lotte Mart.",57266bdd5951b619008f7230,Where is the \Lotte Shopping Avenue\ located? ,Department store
"{'answer_start': [494], 'text': ['Lotte Mart']}","Parkson enters by acquiring local brand Centro Department Store in 2011. Centro still operates for middle market while the 'Parkson' brand itself, positioned for middle-up segment, enters in 2014 by opening its first store in Medan, followed by its second store in Jakarta. Lotte, meanwhile, enters the market by inking partnership with Ciputra Group, creating what its called 'Lotte Shopping Avenue' inside the Ciputra World Jakarta complex, as well as acquiring Makro and rebranding it into Lotte Mart.",57266bdd5951b619008f7231>,What was Makro re-labeled as after it's purchase? ,Department store
"{'answer_start': [81], 'text': ['mid-nineteenth century.']}","Ireland developed a strong middle class, especially in the major cities, by the mid-nineteenth century. They were active patrons of department stores. Delany's New Mart was opened in 1853 in Dublin, Ireland. Unlike others, Delany's had not evolved gradually from a smaller shop on site. Thus it could claim to be the first purpose-built Department Store in the world. The word department store had not been invented at that time and thus it was called the ""Monster House"". The store was completely destroyed in the 1916 Easter Rising, but reopened in 1922.",57266ee0708984140094c5c5,When did Ireland begin to see a growth in its middle class?,Department store
"{'answer_start': [152], 'text': [""Delany's New Mart""]}","Ireland developed a strong middle class, especially in the major cities, by the mid-nineteenth century. They were active patrons of department stores. Delany's New Mart was opened in 1853 in Dublin, Ireland. Unlike others, Delany's had not evolved gradually from a smaller shop on site. Thus it could claim to be the first purpose-built Department Store in the world. The word department store had not been invented at that time and thus it was called the ""Monster House"". The store was completely destroyed in the 1916 Easter Rising, but reopened in 1922.",57266ee0708984140094c5c6,What department store was founded in 1853?,Department store
"{'answer_start': [192], 'text': ['Dublin']}","Ireland developed a strong middle class, especially in the major cities, by the mid-nineteenth century. They were active patrons of department stores. Delany's New Mart was opened in 1853 in Dublin, Ireland. Unlike others, Delany's had not evolved gradually from a smaller shop on site. Thus it could claim to be the first purpose-built Department Store in the world. The word department store had not been invented at that time and thus it was called the ""Monster House"". The store was completely destroyed in the 1916 Easter Rising, but reopened in 1922.",57266ee0708984140094c5c7,In what city was Delany's New Mart opened? ,Department store
"{'answer_start': [458], 'text': ['Monster House']}","Ireland developed a strong middle class, especially in the major cities, by the mid-nineteenth century. They were active patrons of department stores. Delany's New Mart was opened in 1853 in Dublin, Ireland. Unlike others, Delany's had not evolved gradually from a smaller shop on site. Thus it could claim to be the first purpose-built Department Store in the world. The word department store had not been invented at that time and thus it was called the ""Monster House"". The store was completely destroyed in the 1916 Easter Rising, but reopened in 1922.",57266ee0708984140094c5c8,What was Delany's originally called? ,Department store
"{'answer_start': [516], 'text': ['1916']}","Ireland developed a strong middle class, especially in the major cities, by the mid-nineteenth century. They were active patrons of department stores. Delany's New Mart was opened in 1853 in Dublin, Ireland. Unlike others, Delany's had not evolved gradually from a smaller shop on site. Thus it could claim to be the first purpose-built Department Store in the world. The word department store had not been invented at that time and thus it was called the ""Monster House"". The store was completely destroyed in the 1916 Easter Rising, but reopened in 1922.",57266ee0708984140094c5c9>,In what year was the store destroyed? ,Department store
"{'answer_start': [99], 'text': ['El Palacio de Hierro']}","Mexico has a large number of department stores based in Mexico, of which the most traditional are El Palacio de Hierro (High end and luxury goods) and Liverpool (Upper-middle income), with its middle income sister store Fabricas de Francia. Sanborns owns over 100 middle income level stores throughout the country. Grupo Carso operates Sears Mexico and two high-end Saks 5th Avenue stores. Other large chains are Coppel and Elektra, which offer items for the bargain price seeker. Wal-Mart operates Suburbia for lower income shoppers, along with stores under the brand names of Wal-Mart, Bodega Aurrera, and Superama.",57266f58dd62a815002e84b0,What Mexican department store typically caters to high-end goods?,Department store
"{'answer_start': [242], 'text': ['Sanborns']}","Mexico has a large number of department stores based in Mexico, of which the most traditional are El Palacio de Hierro (High end and luxury goods) and Liverpool (Upper-middle income), with its middle income sister store Fabricas de Francia. Sanborns owns over 100 middle income level stores throughout the country. Grupo Carso operates Sears Mexico and two high-end Saks 5th Avenue stores. Other large chains are Coppel and Elektra, which offer items for the bargain price seeker. Wal-Mart operates Suburbia for lower income shoppers, along with stores under the brand names of Wal-Mart, Bodega Aurrera, and Superama.",57266f58dd62a815002e84b1,What company is responsible for over 100 stores in the country? ,Department store
"{'answer_start': [316], 'text': ['Grupo Carso']}","Mexico has a large number of department stores based in Mexico, of which the most traditional are El Palacio de Hierro (High end and luxury goods) and Liverpool (Upper-middle income), with its middle income sister store Fabricas de Francia. Sanborns owns over 100 middle income level stores throughout the country. Grupo Carso operates Sears Mexico and two high-end Saks 5th Avenue stores. Other large chains are Coppel and Elektra, which offer items for the bargain price seeker. Wal-Mart operates Suburbia for lower income shoppers, along with stores under the brand names of Wal-Mart, Bodega Aurrera, and Superama.",57266f58dd62a815002e84b2,What company operates Sears Mexico? ,Department store
"{'answer_start': [414], 'text': ['Coppel and Elektra']}","Mexico has a large number of department stores based in Mexico, of which the most traditional are El Palacio de Hierro (High end and luxury goods) and Liverpool (Upper-middle income), with its middle income sister store Fabricas de Francia. Sanborns owns over 100 middle income level stores throughout the country. Grupo Carso operates Sears Mexico and two high-end Saks 5th Avenue stores. Other large chains are Coppel and Elektra, which offer items for the bargain price seeker. Wal-Mart operates Suburbia for lower income shoppers, along with stores under the brand names of Wal-Mart, Bodega Aurrera, and Superama.",57266f58dd62a815002e84b3>,What chains typically cater to bargain shoppers? ,Department store
"{'answer_start': [310], 'text': ['high-end and luxury items']}","The iconic department stores of New Zealand's three major centres are Smith & Caughey's (founded 1880), in New Zealand's most populous city, Auckland; Kirkcaldie & Stains (founded 1863) in the capital, Wellington; and Ballantynes (founded 1854) in New Zealand's second biggest city, Christchurch. These offer high-end and luxury items. Additionally, Arthur Barnett (1903) operates in Dunedin. H & J Smith is a small chain operating throughout Southland with a large flagship store in Invercargill. Farmers is a mid-range national chain of stores (originally a mail-order firm known as Laidlaw Leeds founded in 1909). Historical department stores include DIC. Discount chains include The Warehouse, Kmart Australia, and the now-defunct DEKA.",572671565951b619008f72c7,What sorts of goods do the most popular department stores in New Zealand offer? ,Department store
"{'answer_start': [385], 'text': ['Dunedin']}","The iconic department stores of New Zealand's three major centres are Smith & Caughey's (founded 1880), in New Zealand's most populous city, Auckland; Kirkcaldie & Stains (founded 1863) in the capital, Wellington; and Ballantynes (founded 1854) in New Zealand's second biggest city, Christchurch. These offer high-end and luxury items. Additionally, Arthur Barnett (1903) operates in Dunedin. H & J Smith is a small chain operating throughout Southland with a large flagship store in Invercargill. Farmers is a mid-range national chain of stores (originally a mail-order firm known as Laidlaw Leeds founded in 1909). Historical department stores include DIC. Discount chains include The Warehouse, Kmart Australia, and the now-defunct DEKA.",572671565951b619008f72c8,What city is Arthur Barnett in? ,Department store
"{'answer_start': [485], 'text': ['Invercargill']}","The iconic department stores of New Zealand's three major centres are Smith & Caughey's (founded 1880), in New Zealand's most populous city, Auckland; Kirkcaldie & Stains (founded 1863) in the capital, Wellington; and Ballantynes (founded 1854) in New Zealand's second biggest city, Christchurch. These offer high-end and luxury items. Additionally, Arthur Barnett (1903) operates in Dunedin. H & J Smith is a small chain operating throughout Southland with a large flagship store in Invercargill. Farmers is a mid-range national chain of stores (originally a mail-order firm known as Laidlaw Leeds founded in 1909). Historical department stores include DIC. Discount chains include The Warehouse, Kmart Australia, and the now-defunct DEKA.",572671565951b619008f72c9,Where is H & J Smith's flagship store?,Department store
"{'answer_start': [444], 'text': ['Southland']}","The iconic department stores of New Zealand's three major centres are Smith & Caughey's (founded 1880), in New Zealand's most populous city, Auckland; Kirkcaldie & Stains (founded 1863) in the capital, Wellington; and Ballantynes (founded 1854) in New Zealand's second biggest city, Christchurch. These offer high-end and luxury items. Additionally, Arthur Barnett (1903) operates in Dunedin. H & J Smith is a small chain operating throughout Southland with a large flagship store in Invercargill. Farmers is a mid-range national chain of stores (originally a mail-order firm known as Laidlaw Leeds founded in 1909). Historical department stores include DIC. Discount chains include The Warehouse, Kmart Australia, and the now-defunct DEKA.",572671565951b619008f72ca,Where are H & J Smith stores typically located? ,Department store
"{'answer_start': [611], 'text': ['1909']}","The iconic department stores of New Zealand's three major centres are Smith & Caughey's (founded 1880), in New Zealand's most populous city, Auckland; Kirkcaldie & Stains (founded 1863) in the capital, Wellington; and Ballantynes (founded 1854) in New Zealand's second biggest city, Christchurch. These offer high-end and luxury items. Additionally, Arthur Barnett (1903) operates in Dunedin. H & J Smith is a small chain operating throughout Southland with a large flagship store in Invercargill. Farmers is a mid-range national chain of stores (originally a mail-order firm known as Laidlaw Leeds founded in 1909). Historical department stores include DIC. Discount chains include The Warehouse, Kmart Australia, and the now-defunct DEKA.",572671565951b619008f72cb>,When was Laidlaw Leeds first established? ,Department store
